MM-DD-YYYY,HH:MM:SS.000,Temp,ADH11_Count,ALDHKI1_Count,ADH10_Count,ADH9_Count,WT14_Count,WT12_Count,WT13_Count,WT11_Count,WT10_Count,WT9_Count,ADH11_Start,ALDHKI1_Start,ADH10_Start,ADH9_Start,WT14_Start,WT12_Start,WT13_Start,WT11_Start,WT10_Start,WT9_Start,ADH11_Stop,ALDHKI1_Stop,ADH10_Stop,ADH9_Stop,WT14_Stop,WT12_Stop,WT13_Stop,WT11_Stop,WT10_Stop,WT9_Stop
7/18/2024,10:34:44 AM,24.75,0,0,0,0,28,0,0,0,2,58,0,0,0,0,28596,0,0,0,31791,30524,0,0,0,0,28626,0,0,0,31828,30548
7/18/2024,10:34:45 AM,24.75,0,0,0,0,28,0,0,0,3,58,0,0,0,0,28596,0,0,0,31989,30524,0,0,0,0,28626,0,0,0,32031,30548
7/18/2024,10:34:44 AM,24.75,0,0,0,0,28,0,0,1,3,58,0,0,0,0,28596,0,0,32378,31989,30524,0,0,0,0,28626,0,0,32384,32031,30548
7/18/2024,10:34:44 AM,24.75,0,0,0,0,28,0,0,2,3,58,0,0,0,0,28596,0,0,32442,31989,30524,0,0,0,0,28626,0,0,32448,32031,30548
7/18/2024,10:34:45 AM,24.75,0,0,0,0,28,0,0,2,3,58,0,0,0,0,28596,0,0,32442,31989,30524,0,0,0,0,28626,0,0,32448,32031,30548
7/18/2024,10:34:46 AM,24.75,0,0,0,0,28,0,0,3,3,58,0,0,0,0,28596,0,0,34127,31989,30524,0,0,0,0,28626,0,0,34145,32031,30548
7/18/2024,10:34:46 AM,24.75,0,0,0,0,28,0,0,3,3,58,0,0,0,0,28596,0,0,34127,31989,30524,0,0,0,0,28626,0,0,34145,32031,30548
7/18/2024,10:34:48 AM,24.75,0,0,0,0,28,0,0,4,3,58,0,0,0,0,28596,0,0,34926,31989,30524,0,0,0,0,28626,0,0,34950,32031,30548
7/18/2024,10:34:47 AM,24.75,0,0,0,0,28,0,0,4,3,58,0,0,0,0,28596,0,0,34926,31989,30524,0,0,0,0,28626,0,0,34950,32031,30548
7/18/2024,10:34:48 AM,24.75,0,0,1,0,28,0,0,4,3,58,0,0,35589,0,28596,0,0,34926,31989,30524,0,0,35679,0,28626,0,0,34950,32031,30548
7/18/2024,10:34:51 AM,25.25,0,0,1,0,28,0,0,4,3,58,0,0,35589,0,28596,0,0,34926,31989,30524,0,0,35679,0,28626,0,0,34950,32031,30548
7/18/2024,10:34:51 AM,25.25,0,0,1,0,28,0,0,5,3,58,0,0,35589,0,28596,0,0,37998,31989,30524,0,0,35679,0,28626,0,0,38041,32031,30548
7/18/2024,10:34:50 AM,25.25,0,0,1,0,28,0,0,5,3,58,0,0,35589,0,28596,0,0,37998,31989,30524,0,0,35679,0,28626,0,0,38041,32031,30548
7/18/2024,10:34:50 AM,25.25,0,0,1,0,28,0,0,6,3,58,0,0,35589,0,28596,0,0,38201,31989,30524,0,0,35679,0,28626,0,0,38213,32031,30548
